2933160 2017 05 17 14 29 37 30.042 0.00
2933161 2017 05 17 14 30 37 30.041 0.00
2933164 2017 05 17 14 31 37 30.040 0.00
2933167 2017 05 17 14 32 37 30.039 0.00
2933169 2017 05 17 14 33 37 30.040 0.00
2933170 2017 05 17 14 35 38 30.040 0.00
2933171 2017 05 17 14 36 37 30.039 0.00
2933172 2017 05 17 14 37 40 30.039 0.00
2933175 2017 05 17 14 39 38 30.038 0.00
2933177 2017 05 17 14 41 38 30.039 0.00
2933180 2017 05 17 14 42 38 30.039 0.00
2933183 2017 05 17 14 43 38 30.040 0.00
2933186 2017 05 17 14 44 38 30.039 0.00
2933189 2017 05 17 14 45 38 30.039 0.00
2933190 2017 05 17 14 47 38 30.039 0.00
2933193 2017 05 17 14 48 38 30.038 0.00
2933196 2017 05 17 14 49 38 30.038 0.00
2933199 2017 05 17 14 51 40 30.038 0.00
2933201 2017 05 17 14 52 38 30.038 0.00
2933202 2017 05 17 14 54 38 30.037 0.00
2933205 2017 05 17 14 55 38 30.038 0.00
2933208 2017 05 17 14 56 38 30.037 0.00
2933211 2017 05 17 14 57 38 30.038 0.00
2933213 2017 05 17 14 59 38 30.038 0.00
2933216 2017 05 17 15 00 39 30.038 0.00
2933219 2017 05 17 15 02 39 30.039 0.00
2933220 2017 05 17 15 03 39 30.038 0.00
2933221 2017 05 17 15 04 39 30.038 0.00
2933223 2017 05 17 15 06 39 30.039 0.00
2933226 2017 05 17 15 07 39 30.037 0.00
2933229 2017 05 17 15 08 39 30.037 0.00
2933232 2017 05 17 15 09 39 30.036 0.00
2933235 2017 05 17 15 10 39 30.036 0.00
2933238 2017 05 17 15 11 39 30.035 0.00
2933241 2017 05 17 15 13 39 30.036 0.00
2933244 2017 05 17 15 14 39 30.034 0.00
2933247 2017 05 17 15 15 40 30.038 0.00
2933249 2017 05 17 15 16 40 30.035 0.00
2933252 2017 05 17 15 18 39 30.034 0.00
2933253 2017 05 17 15 19 39 30.034 0.00
2933256 2017 05 17 15 20 39 30.032 0.00
2933257 2017 05 17 15 22 40 30.031 0.00
2933260 2017 05 17 15 24 40 30.030 0.00
2933261 2017 05 17 15 25 40 30.030 0.00
2933264 2017 05 17 15 27 41 30.031 0.00
